 GÜRCİSTAN,,,,,,,,,
,,,,,,,,,
-Kayıt Masrafları ve Rehberlik 1250$ ,,,,,,,,,
-ÇEVİRİ İŞLEMLERİNİ ÖĞRENCİ ÜLKEYE GİTTİĞİNDE ÜCRETİ TEMSİLCİYE TESLİM EDER.,,,,,,,,,
- Belge Çeviri Bakanlık 400$ ,,,,,,,,,
-VİZESİZ BİR ÜLKEDEDİR. OKUL BAŞLADIKTAN SONRA ÖĞRENCİ OTURUMU YAPILIR.,,,,,,,,,
-BÜTÜN HAZIRLIKLAR ULUSLARARASI KAFKASTA ALINIR. DÖNEMLİK 300USD ,,,,,,,,,
-GÜRCÜCE HAZIRIK HER SENE AÇILMAZ KAYIT ALMADAN ÖNCE TEMSİLCİYE SORULMASI GEREKİYOR.,,,,,,,,,
,,,,,,,,,
İLİA ÜNİVERSİTESİ,ÜCRET,DİL,EK GİDERLER,YÜKSEK LİSANS ,ÜCRET,DİL,DOKTORA*UZMANLIK,,
Tıp ,6200$,İngilizce,Yurtdışı Çıkış Pulu 150 TL,İş Ticaret Hukuku,3700$,Gürcüce,Siyaset Bilimi ,,
Hemşirelik ,3000$,Gürcüce,Konaklama Giderleri,Ceza Hukuku,3200$,İngilizce,Kültür Çalışmaları,,
Hukuk ,1000$,Gürcüce,Seyahat Sigortası ,Kamu Hukuku ve Politikası,3200$,İngilizce,Sosyoloji,,
Tarih,1000$,Gürcüce,Teminat 2000$ ,Ekoloji,3200$,Gürcüce,Psikoloji,,
Arkeoloji,1000$,Gürcüce,Vize 60$*Oturum İzni 120$,Biyoloji,3200$,Gürcüce,Arkeoloji,,
Sosyoloji,1000$,Gürcüce,,Fizik ve Uzay Bilimleri Atmosfer,3200$,Gürcüce,Dijital Beşeri Bilimler,,
Uluslararası İlişkiler,1000$,Gürcüce,KONAKLAMA ,İletişim  ,3200$,İngilizce,Felsefe,,
Siyasal Bilimler,1000$,Gürcüce,Gunlük Otel 40$,Konuşma Dil Terapisi,3200$,İngilizce,Dil Bilimleri ve Edebiyat Çalıimaları,,
Psikoloji,1000$,Gürcüce,Ev Kirası 300$*600$,Kamu Politikası Yönetimi,3200$,Gürcüce,Müzik Sanatları,,
"Güzel Sanatlar(Resim, Seramik, Cam Tasarımı)",1000$,Gürcüce,,Sanat Teorisi ve Kültürel Yönetim,3200$,Gürcüce,Sosyal ve Kültürel Antropoloji,,
Moda,1000$,Gürcüce,,Sanat Teorisi ve Uygulaması,3200$,Gürcüce,Kalite Güvence Uzmanlığı,,
Tekstil,1000$,Gürcüce,,Sosyal Çalışmalar,3200$,Gürcüce,Dermotoloji,,
Ayakkabı,1000$,Gürcüce,,Avrupa Çalışmaları,3200$,Gürcüce,Sağlık Politikası,,
grafik (Bilgisayar tasarımı),1000$,Gürcüce,,Kafkasya Çalışmaları,3200$,Gürcüce,Sosyal Hizmetler,,
Felsefe ,1000$,Gürcüce,,Modern Tarih,3200$,Gürcüce,,,
Film çalışmaları,3500$,Gürcüce,,Siyaset Bilimi,3200$,İngilizce,,,
Matematik,3700$*1000$,İngilizce*Gürcüce,,Arkeoloji,3200$,Gürcüce,,,
Ekoloji,3700$,Gürcüce,,Dil Bilimi,3200$,Gürcüce,,,
 Fizik,3700$,Gürcüce,,Din Bilimi,3200$,Gürcüce,,,
Müzik,3700$,Gürcüce,,Felsefe,3200$,Gürcüce,,,
Biyoloji,1000$,Gürcüce,,Sovyet ve Komünizm Çalışmaları,3200$,Gürcüce,,,
Okul Öncesi Öğretmenliği,1000$,Gürcüce,,Siyasal Bilimler ve Uluslararası İlişkiler,3200$,Gürcüce,,,
Elektrik ve Elektronik Mühendisliği,4000$,İngilizce,,Sosyoloji,3200$,Gürcüce,,,
İnşaat Mühendisliği,4000$,İngilizce,,Psikoloji,3200$,Gürcüce,,,
Bilgisayar Mühendisliği,5000$,İngilizce,,Teminoloji (Sözlük Bilim),3200$,İngilizce,,,
Mimarlık,3700$*1000$,İngilizce*Gürcüce,,Uygulamalı Genetik ,3200$,İngilizce,,,
Bilgisayar ve Elektrik Mühendisliği,3700$*1000$,İngilizce*Gürcüce,,Moleküler Biyoloji,3200$,İngilizce,,,
Bilgisayar Bilimleri ,4500$,İngilizce,,Ekoloji,3200$,İngilizce,,,
Yazılım Mühendisliği,3700$,İngilizce,,Yemek Bilimi,3200$,İngilizce,,,
Enerji ve Maden Kaynakları yönetimi ,1000$,Gürcüce,,Ormancılık ve Doğal Kaynaklar,3200$,İngilizce,,,
Nano Elektronik Mühendisliği ve Yeni Malzemeler,3700$,İngilizce,,Yer Bilimleri,3200$,İngilizce,,,
İşletme,3500$,İngilizce,,Çevre Koruma ve Sürdürebilir Kalkınma,3200$,Gürcüce,,,
Turizm,3200$,Gürcüce,,Halk Sağlığı,3200$,İngilizce,,,
Tiyatro,1000$,Gürcüce,,Turizm İşletilmesi,3700$,Gürcüce,,,
Oyunculuk,1000$,Gürcüce,,Yönetimde İşletme ,3700$,Gürcüce,,,
Yönetmenlik,1000$,Gürcüce,,ÖzeL Eğitim *Bağımlılık,3200$,Gürcüce,,,
Kültür Yönetimi,1000$,Gürcüce,,Eğitim Yönetimi,3200$,Gürcüce,,,
Liberal Sanatlar,1000$,Gürcüce,,İşletme MBA,4000$,İngilizce,,,
Öğretmenlikler Matematik*Tarih*Coğragfa*Biyoloji* Tarih* İngilizce*Rusça,1000$,Gürcüce,,NanoTeknoloji,3200$,Gürcüce,,,
Sağlık Politikası ve Yönetimi,1000$,Gürcüce,,Maden Kaynakları,3200$,Gürcüce,,,
Terminoloji (Sözlük Bilimi),3200$,İngilizce,,Modern Mimari ve Kalkınma,3200$,Gürcüce,,,
Dil Konuşma Terapisi,1000$,Gürcüce,,Matematik,3200$,Gürcüce,,,
,,,,Tiyatro Oyunculugu,3200$,Gürcüce,,,
,,,,Yönetmenlik,3200$,Gürcüce,,,
,,,,Sosyal Psikiyatri,3200$,Gürcüce,,,
,,,,Uluslararası İlişkiler,3700$,İngilizce,,,
,,,,Klinik Psikoloji,3200$,Gürcüce,,,
,,,,Eğitim ve Sosyal Psikoloji,3200$,Gürcüce,,,
İVANA JAVAKHİSHVİLİ TİFLİS ÜNİVERSİTESİ,ÜCRET,DİL HAZIRLIK 2000$,EK GİDERLER,YÜKSEK LİSANS ,ÜCRET,DİL,DOKTORA,ÜCRET,DİL
Tıp,8000$,İngilizce,Kayıt Masrafları ve Rehberlik 1000€,İktisat,4500$ ,İngilizce,Hukuk ,2500$,Almanca
Diş Hekimliği,8000$,İngilizce,Evrak İşlemleri Onaya Hazırlanması,işletme,4500$ ,İngilizce,Turizm ve Otelcilik ,2500$,İngilizce 
Eczacılık,4500$,Gürcüce,Bakanlık ve Okul Kayıt Harcı,Avrasya ve Kafkasya çalışmaları,4500$ ,İngilizce,Çevresel Akışkanlıklar Mekaniği ,2500$,İngilizce 
Ergoterapi,3000$,Gürcüce,Onayın ve İkamet bildirimi,Kamu yönetimi ,4500$ ,İngilizce,Ekonomi,2500$,İngilizce 
Hemşirelik ,3000$,Gürcüce,Bireysel Seyahat Giderleri,Turizm ve Otelcilik ,4500$ ,İngilizce,Bilgisayar Bilimleri ,2500$,İngilizce 
İnşaat Mühendisliğ,1000$,Gürcüce,Yurtdışı Çıkış Pulu 150 TL,Avrupa Çalışmacıları,4500$ ,İngilizce,,,
Elektrik Mühendisliği,1000$,Gürcüce,Konaklama Giderleri,Cinsiyet çalışmaları ,4500$ ,İngilizce,,,
Elektrik ve elektronik mühendisliği,1000$,Gürcüce,Seyahat Sigortası ,Ekonomi ,4500$ ,İngilizce,,,
Jeoloji Makine Mühendisliği,1000$,Gürcüce,Teminat 2000$ ,Halk sağlığı ,4500$ ,İngilizce,,,
Bilişim ,4000$,Fransızca,Yeme ve İçme (Market),Tıbbi Moleküler Biyoloji ,4500$ ,İngilizce,,,
Bilgi Teknolojileri BT,4000$,İngilizce,YarıTatilde*(YılSonu Vize Alınacak),Bilgisayar Bilimi,,Gürcüce,,,
Bilgisayar Mühendisliği   ,4000$,İngilizce,Vize 60$*Oturum İzni 120$,Bilgi Teknolojileri,,Gürcüce,,,
Ekonomi ,3000$,İngilizce,Taahütname vize oturum izni içindir İlkyıl İstenmez,Bilgi Sistemi,,Gürcüce,,,
Kimya ,3000$,İngilizce,Konsolosluklar,Slav calışmaları,2250 Gel,Gürcüce,,,
Bilgisayar Bilimleri ,4000$,İngilizce,İstanbul*Ankara*İzmir*Trabzon,Kafkasya çalışmaları,2250 Gel,Gürcüce,,,
Uluslararası Hukuk,4000$,İngilizce,KONAKLAMA ,,,,,,
Güzel Sanatlar,1000$,Gürcüce,Gunlük Otel 40$,,,,,,
Televizyon,1000$,Gürcüce,Ev Kirası 300$*600$,,,,,,
Sinema sanatları,1000$,Gürcüce,İsim Soyad Değişikliği Belgesi,,,,,,
Biyoloji,1000$,Gürcüce,,,,,,,
Biyolojik bilimler,1000$,Gürcüce,,,,,,,
Biyoteknoloji,1000$,Gürcüce,,,,,,,
Ekoloji,1000$,Gürcüce,,,,,,,
Coğrafya,1000$,Gürcüce,,,,,,,
Fizik,1000$,Gürcüce,,,,,,,
Tarih,1000$,Gürcüce,,,,,,,
Arkeoloji,1000$,Gürcüce,,,,,,,
Felsefe,1000$,Gürcüce,,,,,,,
Etnoloji,1000$,Gürcüce,,,,,,,
Kültürel çalışmalar(Amerikan çalışmalar),1000$,Gürcüce,,,,,,,
Kimya,3000$,İngilizce,,,,,,,
İspanyol,1000$,Gürcüce,,,,,,,
Fransız,1000$,Gürcüce,,,,,,,
Alman,1000$,Gürcüce,,,,,,,
 İngiliz,1000$,Gürcüce,,,,,,,
İbranice,1000$,Gürcüce,,,,,,,
Türkiye,1000$,Gürcüce,,,,,,,
İtalyan,1000$,Gürcüce,,,,,,,
Bizans,1000$,Gürcüce,,,,,,,
Yunan,1000$,Gürcüce,,,,,,,
Rusça,1000$,Gürcüce,,,,,,,
Kafkas Dili,1000$,Gürcüce,,,,,,,
İskandinav dilleri ve edebiyatları) ,1000$,Gürcüce,,,,,,,
Uluslararası İlişkiler,1000$,Gürcüce,,,,,,,
Turizm İşletmeciliği,1000$,Gürcüce,,,,,,,
Psikoloji,1000$,Gürcüce,,,,,,,
Sosyal Hizmetler,1000$,Gürcüce,,,,,,,
Sosyoloji,1000$,Gürcüce,,,,,,,
Gazetecilik ve İletişim,1000$,Rusça,,,,,,,
TİFLİS DEVLET TIP ÜNİVERSİTESİ,ÜCRET,DİL 2000$,EK GİDERLER,YUKSEK LİSANS,,DOKTORA- UZMANLIK ,ÜCRET,,
Tıp(6 yıl) ,8000$*4000$,İngilizce*Rusça*Gürcüce,Kayıt Masrafları ve Rehberlik 1000,Farmaasötik,,Epidemiyoloji ve çevre Tıbbi,5000$,,
Diş Hekimliği(5 yıl) ,7000$*4000$,İngilizce*Rusça*Gürcüce,Evrak İşlemleri Onaya Hazırlanması 275$,İlaç ve Kozmatik Teknolojileri,,Sağlık Yönetimi,5000$,,
Halk Sağlığı ve Yönetimi,4000$,İngilizce*Fransızca*Gürcüce,Bakanlık ve Okul Kayıt Harcı,Eczane İşletmeciliği,,Sağlığın Teşviki ve geliştirilmesi Sağlık Eğitimi,5000$,,
Eczacılık(5 yıl) ,3500$,Gürcüce,Onayın ve İkamet bildirimi,Klinik Eczacılık,,Halk Sağlığı yönetimi ve Sağlık Politikası,5000$,,
Fiziksel Tıp ve Rehabilatasyon ,3000$,İngilizce,Bireysel Seyahat Giderleri,Halk Sağlığı Yönetimi(İng),7000$,Klinik Eczacılık,5000$,,
,,,Yurtdışı Çıkış Pulu 150 TL,Cevre Tıbbı,,Farmasötik kozmetik ve parfümeri,5000$,,
,,,Konaklama Giderleri,Epidemiyoloji,,Farmasötik Analiz,5000$,,
,,,Seyahat Sigortası ,Pediatrik Rehabilitasyon,,Eczane yönetimi,5000$,,
,,,Teminat 2000$ ,Spor Rehabilitasyonu,,GÜRCİSTAN,5000$,,
,,,Yeme ve İçme (Market),Rehabilitasyon Danışmanı,,Biyomedikal Mühendisliği,5000$,,
,,,YarıTatilde*(YılSonu Vize Alınacak),,,Pediatrik rehabilitasyon danışmanı ,5000$,,
,,,Vize 60$*Oturum İzni 120$,,,Psikoloji ,5000$,,
,,,Taahütname vize oturum izni içindir İlkyıl İstenmez,,,Psikiyatri,5000$,,
,,,Konsolosluklar,,,Kulak Burun Boğaz,5000$,,
,,,İstanbul*Ankara*İzmir*Trabzon,,,Dahiliye,5000$,,
,,,KONAKLAMA ,,,İç Hastalıkları,5000$,,
,,,Gunlük Otel 40$,,,İç Hastalıkları Propaeseutigi,5000$,,
,,,Ev Kirası 300$*600$,,,Travmatoloji ve Ortopedi,5000$,,
,,,İsim Soyad Değişikliği Belgesi,,,Tıbta Doktora,5000$,,
,,,,,,Diş Hekimliğinde Doktora,5000$,,
,,,,,,Eczacılık,5000$,,
,,,,,,Halk Sağlığı,5000$,,
TİFLİS TEKNİK ÜNİVERSİTESİ,ÜCRET,DİL ,EK GİDERLER,YÜKSEK LİSANS,,,,,
Dizayn,5500$,İngilizce,Kayıt Masrafları ve Rehberlik 1000€,Eğitim Yönetimi,3500$,,,,
İnşaat Mühendisliği ,4000$,İngilizce,Evrak İşlemleri Onaya Hazırlanması 275$,Mimari ve Tasarım,5500$,Rusça,,,
Biyomedikal,5500$,İngilizce,Bakanlık ve Okul Kayıt Harcı,Pazarlama,4000$,,,,
İngiliz Dili ve Edebiyatı,3000$,İngilizce,Onayın ve İkamet bildirimi,Bankacılık,4000$,,,,
Bilgisayar Mühendisliği,4000$,İngilizce,Bireysel Seyahat Giderleri,Muhasebe ve Denetim,4000$,,,,
Bilgisayar Bilimleri,4000$,İngilizce,Yurtdışı Çıkış Pulu 150 TL,İşletme Yönetimi MBA,5000$,İngilizce,,,
Elektrik Mühendisliği,4000$,İngilizce,Konaklama Giderleri,Bilgisayar Bilimi,5500$,İngilizce,,,
Mimarlık ve tasarım,5500$,İngilizce,Seyahat Sigortası ,Elektrik Bölümünde Bilim,5500$,İngilizce,,,
Makine Mühendisliği,4000$,İngilizce,Teminat 2000$ ,Petrol ve Gaz Teknolojisi,5500$,Rusça,,,
Ziraat Mühendisliği,5500$,İngilizce,,Enerji ve Elektrik Mühendisliği,5500$,Rusça,,,
İnşaat ve Endüstri Mühendisliği,2500$,Gürcüce,Yeme ve İçme (Market),Makine Mühendisliği,5500$,İngilizce,,,
Hydro-Mühendislik,5500$,İngilizce,YarıTatilde*(YılSonu Vize Alınacak),İnşaat Mühendisliği,5500$,İngilizce,,,
Güç ve Telekominükasyon Mühendisliği,2500$,Gürcüce,Vize 60$*Oturum İzni 120$,Bilişim,5500$,Rusça,,,
Telekominükasyon,2500$,Gürcüce,Taahütname vize oturum izni içindir İlkyıl İstenmez,Uluslararası İlişkiler,5500$,Rusça,,,
Termal ve Hydro Enerji Mühendisliği,2500$,Gürcüce,Konsolosluklar,Gazetecilik,5500$,Rusça,,,
Elektromekanik,2500$,Gürcüce,İstanbul*Ankara*İzmir*Trabzon,Kimya-Biyokimya Bilimi,5500$,İngilizce,,,
Madencilik ve Jeoloji,2500$,Gürcüce,KONAKLAMA ,,,,,,
Jeodezi Mühendisliği,2500$,Gürcüce,Gunlük Otel 40$,,,,,,
Maden Teknolojisi,2500$,Gürcüce,Ev Kirası 300$*600$,,,,,,
Jeoloji Bölümü,2500$,Gürcüce,İsim Soyad Değişikliği Belgesi,,,,,,
Petrol ve Gaz Teknolojisi,5500$,Rusça,,,,,,,
Kimyasal Teknoloji ve Metalurji,2500$,Gürcüce,,,,,,,
Kent Planlama ve Tasarım,2500$,Gürcüce,,,,,,,
Bilişim ve Kontrol Sistemleri,2500$,Gürcüce,,,,,,,
Sibernetik Mühendisliği ve Çalgı Aletleri,2500$,Gürcüce,,,,,,,
Kontrol Mühendisliği,2500$,Gürcüce,,,,,,,
Fizik,2500$,Gürcüce,,,,,,,
Matematik,2500$,Gürcüce,,,,,,,
Ulaşım ve Makine,2500$,Gürcüce,,,,,,,
Makine-Bina,2500$,Gürcüce,,,,,,,
Ulaştırma,2500$,Gürcüce,,,,,,,
Mekanik Mühendisliği Grafik ve Teknik,2500$,Gürcüce,,,,,,,
"Kamu Bilimleri, Yabancı diller ve İletişim",2500$,Gürcüce,,,,,,,
İktisat ve İşletme İdaresi,2500$,Gürcüce,,,,,,,
Hukuk,2500$,Gürcüce,,,,,,,
Bağcılık ve Şarapçılık,5500$,İngilizce,,,,,,,
Alman dili ve Edebiyatı,2500$,Gürcüce,,,,,,,
