 MAKEDONYA ÜNİVERSİTELERİ,,,,
,,,,
FAKÜLTE GİRİŞİNDE SINAV VARDIR DİL+BÖLÜM,,,,
KAYIT DANIŞMANLIK: 1500€,İKAMETGAH İZNİ 150-200€,,VİZESİZ BİR ÜLKEDİR. EĞİTİM BAŞLADIKTAN SONRA ÖĞRENCİ OTURUMU ALIR.,
DİPLOMA NOTU 75 VE ÜSTÜ,EVDE YA DA ÖZEL YURTTA KALINIYOR.,,HAZIRLIK EĞİTİMİNE ARADÖNEMDE KAYIT ALINIR.,
,,,,
GOCE DELCEV ÜNİVERSİTESİ,ÜCRET,DİL,,
TIP,1500 \ 6000 €,MAKEDONCA\ İNGİLİZCE ,İNGİLİZCE HAZIRLIK: 600€ (YILLIK),
DİŞ HEKİMLİĞİ,1500 \ 6000 €,MAKEDONCA\ İNGİLİZCE,MAKEDONCA HAZIRLIK: 800-1000€,
ECZACILIK,1500 \ 6000 €,MAKEDONCA\ İNGİLİZCE,MAKEDONCA A1-A2:500€  B1-B2:400€  (DÖNEMLİK),
HEMŞİRELİK,1.500€,MAKEDONCA,4 AY: 2 AY A2 SEVİYESİ - 2 AY B1 SEVİYESİ,
TIBBİ LABORATUVAR ASİSTANLIĞI,1.500€,MAKEDONCA,,
FİZYOTERAPİST,1.500€,MAKEDONCA,,
EBELİK,1.500€,MAKEDONCA,,
YÖNETİM VE PAZARLAMA,1.000€,MAKEDONCA,,
MUHASEBE VE DENETİM,1.000€,MAKEDONCA,,
FİNANS ,1.000€,MAKEDONCA,,
İŞ EKONOMİSİ,1.000€,MAKEDONCA,,
İŞ İDARESİ,1.000€,MAKEDONCA,,
İŞ LOJİSTİĞİ,1.000€,MAKEDONCA,,
TRUZİM VE KONAKLAMAM,1.000€,MAKEDONCA,,
OTEL VE RESTORANT İŞLETMECİLİĞİ,1.000€,MAKEDONCA,,
TEKSTİL VE GİYİM TASARIM TEKNOLOJİSİ,1.000€,MAKEDONCA,,
GIDA MÜHENDİSLİĞİ,1.000€,MAKEDONCA,,
MALZEME TEKNOLOJİSİ,1.000€,MAKEDONCA, ,
OTOMASYON VE SİSTEM MÜHENDİSLİĞİ,1.000€,MAKEDONCA,,
MEKATRONİK VE ROBOTİK,1.000€,MAKEDONCA,,
MEKATRONİK ,1.000€,MAKEDONCA,,
MAKİNE  MÜHENDİSLİĞİNDE BİLGİ TEKNOLOJİSİ,1.000€,MAKEDONCA,,
MAKİNE MÜHENDİSLİĞİ,1.000€,MAKEDONCA,,
BİLGİSAYAR MÜHENDİSLİĞİ VE TEKNOLOJİSİ,2.000€,MAKEDONCA,,
BİLGİSAYAR BİLİMİ,1.000€,MAKEDONCA,,
MATEMATİK ÖĞRETMENLİĞİ,1.000€,MAKEDONCA,,
UYGULAMALI MATEMATİK,1.000€,MAKEDONCA,,    
MÜZİK TEORİSİ ve PEDAGOJİ,1.000€,MAKEDONCA,,
PİYANO,1.000€,MAKEDONCA,,
CAZ BAS,1.000€,MAKEDONCA,,
CAZ GİTAR,1.000€,MAKEDONCA,,
CAZ SAKSAFON,1.000€,MAKEDONCA,,
ETNOKOROLOJİ,1.000€,MAKEDONCA,,
PERFORMANS MÜZİSYENİ-KEMAN,1.000€,MAKEDONCA,,
KLARNET,1.000€,MAKEDONCA,,
TROMPET,1.000€,MAKEDONCA,,
VURMANLI ÇALGILAR,1.000€,MAKEDONCA,,
GİTAR,1.000€,MAKEDONCA,,
JEOLOJİ ,1.000€,MAKEDONCA,,
MADENCİLİK,1.000€,MAKEDONCA,,
ÇEVRE MÜHENDİSLİĞİ,1.000€,MAKEDONCA,,
ENDÜSTRİYEL LOJİSTİK,1.000€,MAKEDONCA,,
İÇ MEKAN VE MOBİLYA TASARIMI,1.000€,MAKEDONCA,,
BALE PEDAGOJİSİ,1.000€,MAKEDONCA,,
HEYKEL,1.000€,MAKEDONCA,,
KLASİK BOYAMAM,1.000€,MAKEDONCA,,
OKUL ÖNCESİ ÖĞRETMENLİĞİ,1.000€,MAKEDONCA,,
İLKOKUL ÖĞRETMENLİĞİ,1.000€,MAKEDONCA,,
PEDAGOJİ,1.000€,MAKEDONCA,,
ARKEOLOJİ VE TARİH,1.000€,MAKEDONCA,,
MAKEDON DİLİ VE EDEBİYATI,1.000€,MAKEDONCA,,
İNGİLİZ DİLİ VE EDEBİYATI,1.000€,MAKEDONCA,,
İTALYAN DİLİ VE EDEBİYATI,1.000€,MAKEDONCA,,
ALMAN DİLİ VE EDEBİYATI,1.000€,MAKEDONCA,,
TÜRK DİLİ VE EDEBİYATI,1.000€,MAKEDONCA,,
HUKUK,1.000€,MAKEDONCA,,
,,,,
KRİL METHODİ ÜNİVERSİTESİ,HAZILIK 600 DÖNEMLİK,,,
,,,,
TIP,3000 \ 5000 €,MAKEDONCA\ İNGİLİZCE ,,
DİŞ HEKİMLİĞİ,5.000€,MAKEDONCA\ İNGİLİZCE,,
ECZACILIK,3.000€,MAKEDONCA,,
HUKUK,2.000€,MAKEDONCA,,
PSİKOLOJİ,1500€-2000€,MAKEDONCA,,
ÖZEL EĞİTİM VE REHABİLİTASYON ,2.000€,MAKEDONCA,,
İNŞAAT MÜHENDİSLİĞİ ,2.000€,MAKEDONCA,,
JEODEZİ VE JEOİNFORMATİK MÜHENDİSLİĞİ,2.000€,MAKEDONCA,,
JEOTEKNİK MÜHENDİSLİĞİ,2.000€,MAKEDONCA,,
ELEKTRİK MÜHENDİSLİĞİ,2.000€,MAKEDONCA,,
ELEKTRİK GÜÇ SİSTEMLERİ,2.000€,MAKEDONCA,,
ELEKTRİK MÜHENDİSLİĞİ VE PROJE YÖNETİMİ,2.000€,MAKEDONCA,,
BİLGİSAYAR SİSTEMLERİ MÜHENDİSLİĞİ,2.000€,MAKEDONCA,,
BİLGİSAYAR TEKNOLOJİLERİ VE MÜHENDİSLİĞİ,2.000€,MAKEDONCA,,
BİLGİSAYAR DONANIM MÜHENDİSLİĞİ,2.000€,MAKEDONCA,,
TELEKOMÜNİKASYON VE BİLGİ MÜHENDİSLİĞİ ,2.000€,MAKEDONCA,,
SİYASET BİLİMİ,2.000€,İNGİLİZCE,,
YAZILIM MÜHENDİSLİĞİ VE BİLGİ SİSTEMLERİ,2.000€,MAKEDONCA\ İNGİLİZCE,,
"İNTERNET, AĞLAR VE GÜVENLİK ",2.000€,MAKEDONCA,,
BİLGİ TEKNOLOJİLERİ UYGULAMASI,2.000€,MAKEDONCA,,
BİLGİ EĞİTİMİ,2.000€,MAKEDONCA,,
BİLGİSAYAR MÜHENDİSLİĞİ ,2.000€,MAKEDONCA,,
BİLGİSAYAR BİLİMLERİ,2.000€,MAKEDONCA,,
PROFESYONEL PROGRAMLAMA ÇALIŞMALARI ,2.000€,MAKEDONCA,,
ÜRETİM MÜHENDİSLİĞİ ,2.000€,MAKEDONCA,,
TERMAL ENERJİ MÜHENDİSLİĞİ ,2.000€,MAKEDONCA,,
HİDROLİK ENERJİ MÜHENDİSLİĞİ,2.000€,MAKEDONCA,,
ENDÜSTRİ MÜHENDİSLİĞİ VE YÖNETİMİ ,2.000€,MAKEDONCA,,
ENDÜSTRİYEL TASARIM MÜHENDİSLİĞİ ,2.000€,MAKEDONCA,,
METALURJİ DİJİTAL MÜHENDİSLİĞİ,2.500€,İNGİLİZCE,,
İNORGANİK MÜHENDİSLİK VE ÇEVRE KORUMA ,2.000€,MAKEDONCA,,
GİYİM TASARIMI VE MÜHENDİSLİĞİ,2.500€,İNGİLİZCE,,
BİYOTEKNOLOJİ,2.000€,MAKEDONCA,,
MALZEME VE NANO TEKNOLOJİ MÜHENDİSLİĞİ ,2.000€,MAKEDONCA,,
COĞRAFYA ÖĞRETMENLİĞİ ,2.000€,MAKEDONCA,,
TURİZM,2.000€,MAKEDONCA,,
MATEMATİK ÖĞRETMENLİĞİ ,1.500€,MAKEDONCA,,
FİZİK ÖĞRETMENLİĞİ ,1.500€,MAKEDONCA,,
KİMYA ÖĞRETMENLİĞİ,1.500€,MAKEDONCA,,
EKONOMİ,1.500€,MAKEDONCA,,
ULUSLARARASI TİCARET,1.500€,MAKEDONCA,,
GAZETECİLİK ,2.000€,MAKEDONCA,,
FELSEFE,1.000€,MAKEDONCA,,
SOSYOLOJİ,1.000€,MAKEDONCA,,
TARİH,1.000€,MAKEDONCA,,
SANAT TARİHİ,1.000€,MAKEDONCA,,
ARKEOLOJİ,1.000€,MAKEDONCA,,
KLASİK FİLOLOJİ,1.000€,MAKEDONCA,,
ÖZEL EĞİTİM VE REHABİLİTASYON ,1.000€,MAKEDONCA,,
MAKEDON DİLİ VE EDEBİYATI ,400€,MAKEDONCA,,
TÜRK DİLİ VE EDEBİYATI ,400€,MAKEDONCA,,
FRANSIZCA TERCÜMANLIK ,400€,MAKEDONCA,,
ROMEN DİLİ VE EDEBİYATI ,400€,MAKEDONCA,,
RUSÇA (BAŞLANGIÇ SEVİYESİ),400€,MAKEDONCA,,
LEHÇE (BAŞLANGIÇ SEVİYESİ),400€,MAKEDONCA,,
SLOVENCE (BAŞLANGIÇ SEVİYESİ),400€,MAKEDONCA,,
ALMAN DİLİ VE EDEBİYATI,400€,MAKEDONCA,,
İNGİLİZ DİLİ VE EDEBİYATI,400€,MAKEDONCA,,
ÇEVİRİ VE SÖZLÜ ÇEVİRİ (İNG/ALM/FRA),400€,MAKEDONCA,,
İTALYAN DİLİ VE EDEBİYATI,400€,MAKEDONCA,,
iLKÖĞRETİM SINIF ÖĞRETMENLİĞİ,800€,MAKEDONCA,,
MAKEDONYA SINIF ÖĞRETMENLİĞİ,800€,MAKEDONCA,,
ARNAVUT SINIF ÖĞRETMENLİĞİ,800€,MAKEDONCA,,
TÜRKÇE SINIF ÖĞRETMENLİĞİ,800€,MAKEDONCA,,
OKUL ÖNCESİ EĞİTİM,800€,MAKEDONCA,,
KÜTÜPHANECİLİK ,800€,MAKEDONCA,,
BEDEN VE SAĞLIK EĞİTİMİ,1.200€,MAKEDONCA,,
SPOR ANTRENÖRLÜĞÜ,1.200€,MAKEDONCA,,
HEMŞİRELİK ,1.000€,MAKEDONCA,,
RADJOLOJİ TEKNİKER ,1.000€,MAKEDONCA,,
KONUŞMA TERAPİSTİ,1.000€,MAKEDONCA,,
FİZYOTERAPİ,1.000€,MAKEDONCA,,
EBELİK,1.000€,MAKEDONCA,,
DİYET TERAPİSTİ VE DİYETETİK,2.000€,MAKEDONCA,,
PEYZAJ MİMARLIĞI ,500€,MAKEDONCA,,
VETERİNERLİK ,3000€/4000€,MAKEDONCA\ İNGİLİZCE,,
FİLM VE TV YÖNETMENLİĞİ ,1.500€,MAKEDONCA,,
GÜZEL SANATLAR (HEYKEL/RESİM/GRAFİK),1.500€,MAKEDONCA,,
MÜZİK SANATLARI FAKÜLTESİ,1.300€,MAKEDONCA,,