                         MOLDOVA ÜNİVERSİTELERİ ,,ÜNİVERSİTE ÜCRETLERİ YILLIK HESAPLANMIŞTIR LEİ OLARAK OKULLARA ÖDEME YAPILIR ,,,,,,
MOLDOVA USEM  HUKUK AKADEMİSİ ,Hukuk,1.300 €,Romence*Rusça,4 Yıl*ULİM ÜNİVERSİTESİNE BAĞLIDIR,Kayıt Masrafları ve Rehberlik 1000€,,,
KOMRAD DEVLET ÜNİVERSİTESİ,LİSANS YILLIK,DİL HAZIRLIK 800$,YIL,EK GİDERLER ,YUKSEKLİSANS,,,
İngilizce Öğretmenliği  ÖSYM ile Kazanan,850$,Romence,3 Yıl,Kayıt Masrafları ve Rehberlik 1000€,Ceza Hukuku,1550$,,
Rus Dili ve Edebiyatı ÖSYM ile Kazanan,850$,Romence,3 Yıl,Evrak İşlemleri Onaya Hazırlanması,Sivil Hukuk ,1550$,,
İşletme Yönetimi ,1250$,Romence,3 Yıl,Bakanlık ve Okul Kayıt Harcı,İş Birliği Hukuku,1550$,,
Turizm ve Konaklama ve Eğlence Yönetimi,1250$,Romence,3 Yıl,Onayın ve İkamet bildirimi,Yerel Kamu Yönetimi,2000$,,
Finans ve Bankacılık,1250$,Romence,3 Yıl,Bireysel Seyahat Giderleri,Eğitimde Yönetim,1550$,,
Muhasebe,1250$,Romence,3 Yıl,Konaklam Giderleri,Müzik Eğitimi,1550$,,
Bilişim,1250$,Romence,3 Yıl,Seyahat Sigortası ,İlkokul Öğretmenliği,1550$,,
Bilgisayar Bilimi ve Matematik,1250$,Romence,3 Yıl,Yeme ve İçme (Market),Endüstrilerde Muhasebe ve Denetim,2000$,,
Okul Öncesi Öğretmenliği,1250$,Romence,3 Yıl,Vize 90€*Oturum İzni 100€,Kurumsal Finansman,2000$,,
İlkokul  Sınıf Öğretmenliği,1250$,Romence,3 Yıl,2500€ Bankada Gösterilir,İş İdaresi,2000$,,
Türk Dili ve Edebiyatı,1250$,Romence,3 Yıl,Konsolosluklar,Tarım Üretim Yönetimi,1550$,,
Tarih,1250$,Romence,4 Yıl,İstanbul Bursa Antalya*Ankara,Avrupa Komşuluk Siyaseti Hukuki Yönleri,2000$,,
Coğrafya ,1250$,Romence,3 Yıl,EĞİTİMLER ,Rus Dili ve Edebiyatı,1550$,,
Yabancı Diller (İngilizce*Almanca),1250$,Romence,3 Yıl,3+2* 4+1  Şeklindendir ,,,,
Gazetecilik ve Medya ,1250$,Romence,3 Yıl,1 ve 2 Yükseklisanslardır.,,,,
Müzik,1250$,Romence,3 Yıl,KONAKLAMA ,,,,
Bahçe Bitkileri,1250$,Romence,4 Yıl,YURT,,,,
Gıda Teknolojisi,1250$,Romence,4 Yıl,10$*20$,,,,
Tarım Ürünlerinin Üretimi ve İşlenmesi Mühendisliği ve Yönetimi,1250$,Romence,4 Yıl,Ev 100*200$ ,,,,
Hukuk,1250$,Romence,3 Yıl,İsim Soyad Değişikliği Belgesi,,,,
Kamu Yönetimi,1250$,Romence,3 Yıl,,,,,
MOLDOVA DEVLET ÜNİVERSİTESİ ,LİSANS YILLIK,DİL,YIL,EK GİDERLER ,YUKSEKLİSANS 2 Yıl,ÜCRET ,DOKTORA 3 Yıl,ÜCRET 
Arkeoloji ,1.000 €,Romence,,Kayıt Masrafları ve Rehberlik 1000€,Kültürel Miras,1.200 €,Psikoloji  ve Eğitim Bilimleri,1.600 €
Antropoloji,1.000 €,Romence,,Evrak İşlemleri Onaya Hazırlanması,Dinler Tarihi ve Kültürü,1.200 €,Genel Psikoloji,1.600 €
Felsefe,1.000 €,Romence,,Bakanlık ve Okul Kayıt Harcı,Çağdaş Filozoflar,1.200 €,Sosyal Bilimler,1.600 €
Tarih ,1.000 €,Romence,,Onayın ve İkamet bildirimi,Bilgi Teknolojileri,1.200 €,Matematik Bilişim Bilimleri,1.600 €
Fizik *Fizik Öğretmenliği,1.000 €,Romence,,Bireysel Seyahat Giderleri,Çevre Mühendisliği Ölçüm Prosedürleri,1.200 €,Edebiyat,1.600 €
Mühendislik ve Kalite Yönetimi,1.000 €,Romence,,Konaklam Giderleri,Fizik,1.200 €,Dil Bilimi,1.600 €
Bilgi Teknolojisi,1.000 €,Romence,,Seyahat Sigortası ,Medya Tanıtım ve Video prodüksiyon,1.200 €,,
Gazetecilik ,1.000 €,Romence,,Yeme ve İçme (Market),Ceza Hukuku,1.200 €,,
İletişim ve Halkla İlişkiler,1.000 €,Romence,,Vize 90€*Oturum İzni 100€,Sivil Yargı Hukuku,1.200 €,,
Multi Medya,1.000 €,Romence,,2500€ Bankada Gösterilir,Cezai ve Kriminalist İşlemler,1.200 €,,
Hukuk,1.000 €,Romence,,Konsolosluklar,Uluslararası Hukuk,1.200 €,,
Kimya* Kimya Öğretmenliği,1.000 €,Romence,,İstanbul Bursa Antalya*Ankara,Kozmetik ilaç ve Çevre Endüstriyel Modern Teknolojiler,1.200 €,,
Biyofarmasötik Kimya,1.000 €,Romence,,EĞİTİMLER ,Biyofarmasötik Kimya Malzemeleri,1.200 €,,
Endüstriyel Kimyasal Teknoloji ,1.000 €,Romence,,3+2* 4+1  Şeklindendir ,Biyolojik Bilimler,1.200 €,,
Kozmetik ve Tıbbi Ürün Teknolojileri,1.000 €,Romence,,1 ve 2 Yükseklisanslardır.,Çevre Yönetimi,1.200 €,,
Biyoloji Öğretmenliği,1.000 €,Romence,,KONAKLAMA ,Peyzaj Tasarımı ve Yeşil Alanlar,1.200 €,,
Biyoloji ve Coğrafya Eğitim Bilimleri,1.000 €,Romence,,YURT,Moleküler Biyoloji,1.200 €,,
Ormancılık  ve Halk Bahceliği,1.000 €,Romence,,70€*85*90*100€ ,Diplomatik Çalışmalar,1.200 €,,
Peyzaj Miarlığı  ve Çevre Düzenlenmesi,1.000 €,Romence,,Ev 100*300€,Avrupa Çalışmaları,1.200 €,,
Ekoloji,1.000 €,Romence,,İsim Soyad Değişikliği Belgesi,Kamu Politikaları ve Hizmetleri,1.200 €,,
Coğrafya,1.000 €,Romence,,,Kamu Yönetimi,1.200 €,,
Moleküler Biyoloji ,1.000 €,Romence,,,Uluslararası İlişkiler,1.200 €,,
Biyoloji,1.000 €,Romence,,,Ulusal Güvenlik Çalışmaları,1.200 €,,
Uluslararası İlişkiler,1.000 €,Romence,,,Siyasi ve Secim Yönetimi,1.200 €,,
Siyasal Bilimler,1.000 €,Romence,,,Adli Psikoloji ,1.200 €,,
Kamu Yönetimi ,1.000 €,Romence,,,Eğiitim Yönetimi,1.200 €,,
Psikoloji ,1.000 €,Romence,,,Sosyal Hizmetlerin Yönetimi,1.200 €,,
Eğitim Bilimleri ,1.000 €,Romence,,,Aile Sorunları Danışmalığı,1.200 €,,
Sosyoloji,1.000 €,Romence,,,Klinik Psikoloji ,1.200 €,,
Sosyal Hizmetler,1.000 €,Romence,,,Oyun Tasarımı,1.200 €,,
İlkögretim İngilizce Öğretmenliği,1.000 €,Romence,,,Bilgisayar Bilimleri Öğretmenliği,1.200 €,,
İlköğretim Psikopedagojisi,1.000 €,Romence,,,Uygulamalı Bilişim,1.200 €,,
Psikopedagoji,1.000 €,Romence,,,Bilişim,1.200 €,,
Tercumanlık (Fransızca*İngilizce),1.000 €,Fransızca,,,Kültürlerarası Yönetim,1.200 €,,
Çeviri ve Yorumlama(İngilizceden Francızca*Alamnaca*İtalyanca),1.000 €,İngilizce,,,Kültürlerarası Örgütsel İletişim,1.200 €,,
Fransızca*İngilizce*Almanca*İspanyolca*Rusça*Romence) ,1.000 €,İngilizce,,,Konferans Tercumanı (Fransızca*İngilizce),1.200 €,,
Nicolae Testemiţanu Devlet Tıp ve Eczacılık Üniversitesi ,LİSANS YILLIK,DİL 2000€* 2300€,YIL,EK GİDERLER ,UZMANLIK*DOKTORA,ÜCRET ,DİL  ,
Tıp ,5.600 €,İngilizce*Fransızca*Rusça*Romence,6 Yıl,Kayıt Masrafları ve Rehberlik 1000€,Tıp ,6.700 €,Romence,
Diş Hekimliği,6.500 €,İngilizce*Rusça*Romence,5 Yıl,Evrak İşlemleri Onaya Hazırlanması,Diş Hekimliği,7.400 €,Romence,
Eczacılık,4.000 €,İngilizce*Fransızca*Rusça*Romence,5 Yıl,Bakanlık ve Okul Kayıt Harcı,YARI ZAMANLI UZMANLIKLAR,7.000 €,Romence,
Optometri ,5.000 €,İngilizce*Romence,3Yıl,Onay mülakat ile,Vize 90€*(Vizeci 160€)Oturum İzni 170€,,,
Hemşirelik,3.000 €,Romence,,,,,,
Halk Sağlığı  ,3.000 €,İngilizce*Romence,4 Yıl,Bireysel Seyahat Giderleri,Türkiye'de1500*2500€ Bankada Gösterilir,,,
Tıbbı Yardım*ATT,5.000 €,İngilizce*Romence,4 Yıl,Konaklama Giderleri* İkamet bildirimi,Konsolosluklar İst*Ank*Bursa*Ant,,,
Fizik Tedavi ve Rehabilitasyon,4.000 €,Romence,4 Yıl,Seyahat Sigortası ,YURT 80€*90€*100€,,,
Radyoloji Teknolojileri ,3.000 €,Romence,4 Yıl,Moldovada Teminat 1500€,Ev 100*300€,,,
ION CREANGA  PEDAGOJİ ÜNİVERSİTESİ,LİSANS YILLIK,DİL HAZIRLIK 1200€,YIL,EK GİDERLER ,YUKSEKLİSANS 1500€* 2 Yıl,DOKTORA  3100€,,
Animasyon ,1300€*700€,Romence,4 Yıl,Kayıt Masrafları ve Rehberlik 1000€,Plastik Sanatları ve Tasarım,Eğitim Bilimleri,,
Dekoratif Sanatlar ,1300€*700€,Romence,4 Yıl,Evrak İşlemleri Onaya Hazırlanması,Psikoloji,Tarih Bilimleri,,
Web Tasarımında İleri Çalışmalar,1300€*700€,Romence,4 Yıl,Bakanlık ve Okul Kayıt Harcı,Özel Psikopedagoji,Küresel Miras,,
İç Tasarım (İç Dizayn),1300€*700€,Romence,4 Yıl,Onayın ve İkamet bildirimi,Eğitim Bilimleri,Psikoloji,,
Teknolojik Eğitim,1300€*700€,Romence,4 Yıl,Bireysel Seyahat Giderleri,Bilgi Teknolojileri,Uzman Psikolog ,,
Oyun Tasarımı,1300€*700€,Romence,4 Yıl,Konaklam Giderleri,Fizik,,,
Grafik,1300€*700€,Romence,4 Yıl,Seyahat Sigortası ,Matematik,,,
Moda *Giyim Tasarımı,1300€*700€,Romence,4 Yıl,Yeme ve İçme (Market),Biyolojik Bilimler,,,
Resim8Boyama,1300€*700€,Romence,4 Yıl,Vize 90€*Oturum İzni 100€,Kimya,,,
Mütercim Tercumanlık(İngilizce),1300€*700€,Romence,4 Yıl,2500€ Bankada Gösterilir,Coğrafya,,,
Psikoloji ,1300€*700€,Romence,4 Yıl,Konsolosluklar,Edebiyat,,,
Özel Psikopedagoji,1300€*700€,Romence,4 Yıl,İstanbul Bursa Antalya*Ankara,Diller,,,
Psikopedagoji,1300€*700€,Romence,4 Yıl,YARI ZAMANLI 700€ Belirtilmiştir.,Dil Konuşma Terapisti Odyoloji,,,
Sosyal Hizmetler,1300€*700€,Romence,4 Yıl,EĞİTİMLER ,PDR,,,
Bilgisayar Öğretmenliği,1300€*700€,Romence,4 Yıl,3+2* 4+1  Şeklindendir ,Bütünleşik Özel Eğitim,,,
Klasik Halk Dansları,1300€*700€,Romence,4 Yıl,1 ve 2 Yükseklisanslardır.,Nüfüs Sağlığı  Hizmetleri,,,
Spor ve Modern Dans,1300€*700€,Romence,4 Yıl,KONAKLAMA ,Aile ve Çoçuk Sosyal Politikalar,,,
Bilişim Öğretmenliği ,1300€*700€,Romence,4 Yıl,YURT,Turizm İstatistik Yönetimi,,,
Bilgisayar Bilimleri,1300€*700€,Romence,4 Yıl,70€*85*90*100€ ,Coğrafya Cevre Teknoloji,,,
Matematik,1300€*700€,Romence,4 Yıl,Ev 100*300€,İngilizce*Fansızca,,,
İlköğretim Pedagojisi ve İngilizce Dili,1300€*700€,Romence,4 Yıl,İsim Soyad Değişikliği Belgesi,Tercumanlık İngilizce,,,
Fransızca Bilgisayar Bilimi ,1300€*700€,Romence,4 Yıl,,Alman İşletişim Statejileri,,,
İlköğretim Pedagojisi,1300€*700€,Romence,4 Yıl,,Grafik Tasarım,,,
Okul Öncesi Pedagojisi,1300€*700€,Romence,4 Yıl,,Güzel Sanatlar Yönetimi,,,
Tarih ,1300€*700€,Romence,4 Yıl,,Resim Boyama,,,
Coğrafya,1300€*700€,Romence,4 Yıl,,Güzel Sanatlarda İç Tasarm,,,
Yurttaşlık,1300€*700€,Romence,4 Yıl,,Malzemelerin Sanatsal İşlenmesi,,,
İngiliz Dili ve Edebiyatı,1300€*700€,Yabancı Dil Secilir,4 Yıl,,Güzel Sanatlar Öğretmenliği,,,
Rusça Dili ve Edebiyatı,1300€*700€,Yabancı Dil Secilir,4 Yıl,,Etnoloji,,,
Fransızca Dili ve Edebiyatı,1300€*700€,Yabancı Dil Secilir,4 Yıl,,El Sanatları,,,
İtalyan Dili ve Edebiyatı,1300€*700€,Yabancı Dil Secilir,4 Yıl,,,,,
İngiliz Dili ,1300€*700€,Yabancı Dil Secilir,4 Yıl,,,,,
İngilizce ve Fransızca,1300€*700€,Yabancı Dil Secilir,4 Yıl,,,,,
İngilizce ve İtalyanca,1300€*700€,Yabancı Dil Secilir,4 Yıl,,,,,
İngilizce ve İspanyolca,1300€*700€,Yabancı Dil Secilir,4 Yıl,,,,,
Fransızca ve İngilizce ,1300€*700€,Yabancı Dil Secilir,4 Yıl,,,,,
Fransızca ve İtalyanca,1300€*700€,Yabancı Dil Secilir,4 Yıl,,,,,
Almanca ve İngilizce,1300€*700€,Yabancı Dil Secilir,4 Yıl,,,,,
MOLDOVA TEKNİK ÜNİVERSİTESİ,LİSANS YILLIK,DİL HAZIRLIK  2300€,,EK GİDERLER ,YUKSEK LİSANS 1800€ 1*2 YIL,,,
Yazılım Mühendisliği,2.100 €,İngilizce,4 YIL,Kayıt Masrafları ve Rehberlik 1000€,Tasarım(Ürün Tasarımı Geliştirme * ),,,
Veterinerlik,1920€*1720€*1500€,İngilizce*Romence*Yarı zamanlı Romence,5 YIL,Evrak İşlemleri Onaya Hazırlanması,Tekstil Mühendisliği,,,
Telekomünikasyon Teknolojileri ve Sistemleri,2.100 €,Romence,4 Yıl,Bakanlık ve Okul Kayıt Harcı,Moda ve Tekstil Tasarımı,,,
Telekomünikasyon Ağları ve Yazılımları,2.100 €,Romence,4 Yıl,Onayın ve İkamet bildirimi,Basım Tasarımı Teknolojileri ,,,
Elektronik Telekomünikasyon Sistemleri Güvenliği,2.100 €,Romence,4 Yıl,Bireysel Seyahat Giderleri,Binalar ,,,
Telekomünikasyon Mühendislik ve Yönetimi ,2.100 €,Romence,4 Yıl,Konaklam Giderleri,İç Mimarlık Dizayn,,,
Radyo ve Televizyon İşletişimi,2.100 €,Romence,4 Yıl,Seyahat Sigortası ,Biyoteknoloji,,,
Elektrik Mühendisliği ve Yönetimi,2.100 €,Romence,4 Yıl,Yeme ve İçme (Market),Tarım Üretim Yönetimi,,,
TermoEnerji,2.100 €,Romence,4 Yıl,Vize 90€*Oturum İzni 100€,Hayvancılık,,,
Elektrik Güç Mühendisliği ,2.100 €,Romence,4 Yıl,2500€ Bankada Gösterilir,Arıcılık,,,
ElektroMekanik Sistem Mühendisliği,2.100 €,Romence,4 Yıl,Konsolosluklar,Ormancılık ve Cevre Koruma,,,
Mühendislik ve Kalite Yönetimi,2.100 €,Romence,4 Yıl,İstanbul Bursa Antalya*Ankara,Bahçe Bilimleri,,,
Yenilenebilir Enerji Sistemleri Mühendisliği,2.100 €,Romence,4 Yıl,EĞİTİMLER ,İnşaat Yönetimi,,,
Tarım Elektrifikasyonu,2.100 €,Romence,4 Yıl,3+2* 4+1  Şeklindendir , Mülk degerlendirme ve Yönetimi,,,
Otomasyon ve BT Bilişim Mühendisliği,2.100 €,Romence,4 Yıl,1 ve 2 Yükseklisanslardır.,Gayrimenkulve Kadastro hukuku,,,
MikroElektronik ve NanoTeknolojiler,2.100 €,Romence,4 Yıl,KONAKLAMA ,Yapı Mühendisliği,,,
Uygulamalı Elektronik,2.100 €,Romence,4 Yıl,YURT,Yangın Mühendisliği,,,
Bilgisayarlar ve Ağlar,2.100 €,Romence,4 Yıl,70€*85*90*100€ ,Tarım Mühendisliği,,,
Bilgi Teknolojisi,2.100 €,Romence,4 Yıl,Ev 100*300€,Ulaştırma  Lojistik,,,
Uygulamalı Bilişim,2.100 €,Romence,4 Yıl,İsim Soyad Değişikliği Belgesi,Makine Mühendisliği Ürün ve süreç,,,
BiyoMedikal Mühendisliği,2.100 €,Romence,4 Yıl,,Havaalanı Yönetimi,,,
Bilgi Yönetimi,2.100 €,Romence,4 Yıl,,Yenilenebilir enerji ,,,
Bilgi Güvenliği* Bilgisayar ve Ağlar,2.100 €,Romence,4 Yıl,,Yazılım Mühendisliği,,,
Mekatronik ve Robotik Mühendisliği,2.100 €,Romence,4 Yıl,,Biyomedikal Mühendisliği,,,
Mimarlık,2.100 €,Romence,4 Yıl,,Mikroelektronik Nanoteknoloji,,,
MikroElektronik,2.100 €,Romence,4 Yıl,,Bilgi Güvenliği,,,
Matematik,2.100 €,Romence,4 Yıl,,Bilgisayar* Yeni Teknoloji ,,,
Bilişim,2.100 €,Romence,4 Yıl,,Elektrik Mühendisliği,,,
İç Mimarlık Tasarımı,2.100 €,Romence,4 Yıl,,Elektro Enerji,,,
Kamu ve Gıda Teknolojisi Yönetimi,2.100 €,Romence,4 Yıl,,Elektrik Mühendisliği Kallite Yönetimi,,,
Gıda Teknolojisi,2.100 €,Romence,4 Yıl,,ElektroTeknolojiler,,,
Et ve Et Ürünleri Teknolojisi,2.100 €,Romence,4 Yıl,,Telekomünikasyon ,,,
Fırın Teknolojisi,2.100 €,Romence,4 Yıl,,İşletişim Sistemleri ve Ağlarında Bilgi Güvenliği,,,
Süt ve Süt Ürünleri Teknolojisi,2.100 €,Romence,4 Yıl,,Restoran İşletmeciliği,,,
Meyve ve Sebzeleri Koroma ve İşleme Teknolojisi,2.100 €,Romence,4 Yıl,,Gıda Ürünleri kalite ve Güvenliği,,,
Şarap Teknolojisi ve Fermantasyon Ürünleri,2.100 €,Romence,4 Yıl,,Şarapcılık Şarap Turizmi ve Pazarlaması,,,
BiyoTeknoloji,2.100 €,Romence,4 Yıl,,Gayrimenkul Ticaretinin Ekonomisi,,,
Gıda Endüstrisinde Mühendislik ve Yönetimi,2.100 €,Romence,4 Yıl,,Endüstriyel Pazarlama,,,
Kamu Beslenme Hizmetleri,2.100 €,Romence,4 Yıl,,,,,
Otel Hizmetleri Turizm ve Eğlence Sektörü Yönetimi,2.100 €,Romence,4 Yıl,,,,,
Heykel,2.100 €,Romence,4 Yıl,,,,,
Şehir ve Bölge Planlama ,2.100 €,Romence,4 Yıl,,,,,
Dekoratif Sanatlar ,2.100 €,Romence,4 Yıl,,,,,
İnşaat Malzemeleri ve Ürünleri Mühendisliği,2.100 €,Romence,4 Yıl,,,,,
Demir Yolları ve Köprüler ve Yol Yapımı,2.100 €,Romence,4 Yıl,,,,,
Peyzaj Mimarlığı,2.100 €,Romence,4 Yıl,,,,,
Çevre Mühendisliği,2.100 €,Romence,4 Yıl,,,,,
Binalar İçin Termik Gaz ve İklimlendirme Sistemlerinin Mühendisliği,2.100 €,Romence,4 Yıl,,,,,
Su Temini Kanalizasyon,2.100 €,Romence,4 Yıl,,,,,
İnşaat Mühendisliği ve Yönetimi,2.100 €,Romence,4 Yıl,,,,,
Maden Mühendisliği,2.100 €,Romence,4 Yıl,,,,,
Yangın Mühendisliği ve Sivil Koruma Mühendisliği,2.100 €,Romence,4 Yıl,,,,,
Emlak Hukuku,2.100 €,Romence,4 Yıl,,,,,
Jeodezi ve Kadastro Mühendisliği,2.100 €,Romence,4 Yıl,,,,,
